time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-02-28,9.9,1.6,14.4,0.0,,,8.2,,1022.6,
2024-02-29,10.4,2.6,14.7,0.0,,,9.2,,1023.6,
2024-03-01,11.5,4.6,15.5,0.0,,,10.5,,1018.2,
2024-03-02,11.6,5.2,16.0,0.0,,,11.2,,1011.2,
2024-03-03,6.7,1.9,11.7,6.1,,,13.6,,1013.2,
2024-03-04,6.9,2.4,10.8,4.6,,,9.8,,1015.0,
2024-03-05,10.7,4.3,16.0,0.0,,,16.1,,1012.2,
2024-03-06,2.7,0.2,4.0,7.6,,,13.7,,1011.4,
2024-03-07,3.0,0.6,6.9,10.9,,,12.5,,1017.5,
2024-03-08,5.8,-1.4,9.7,0.0,,,9.2,,1015.1,
2024-03-09,1.4,0.3,4.4,6.1,2.0,,14.2,,1016.4,
2024-03-10,1.8,-2.0,3.9,13.5,1.0,,7.8,,1021.9,
2024-03-11,6.2,-1.2,11.7,0.0,,,6.5,,1024.3,
2024-03-12,12.8,4.0,17.8,0.0,,,13.1,,1019.0,
2024-03-13,11.7,4.3,16.0,0.0,,,17.7,,1012.5,
2024-03-14,8.1,3.5,12.9,0.0,,,10.1,,1013.4,
2024-03-15,6.3,3.5,11.1,0.3,,,7.1,,1014.6,
2024-03-16,5.3,2.3,9.3,2.0,,,9.5,,1018.0,
2024-03-17,7.5,1.3,11.0,3.0,,,7.3,,1017.4,
2024-03-18,7.6,1.4,11.4,0.0,,,11.1,,1011.6,
2024-03-19,7.0,0.7,11.0,0.0,,,11.3,,1009.4,
2024-03-20,8.2,0.2,12.0,0.0,,,10.8,,1011.4,
2024-03-21,4.0,0.3,8.0,2.2,,,15.8,,1013.5,
2024-03-22,-0.4,-3.0,1.5,4.1,,,12.3,,1014.7,
2024-03-23,0.2,-3.1,2.1,3.3,,,12.1,,1016.9,
2024-03-24,5.3,-2.0,10.1,0.3,,,8.9,,1013.0,
2024-03-25,10.1,2.8,14.6,0.0,,,19.9,,1006.5,
2024-03-26,4.7,0.7,8.9,9.9,,,17.9,,1014.2,
2024-03-27,8.8,2.1,16.6,2.7,,,15.6,,1017.4,
2024-03-28,11.8,3.8,20.3,0.0,,,11.5,,1017.1,
2024-03-29,10.6,7.4,14.4,0.5,,,8.6,,1019.2,
2024-03-30,13.0,6.2,19.7,0.0,,,10.5,,1022.0,
2024-03-31,15.5,8.1,22.3,0.0,,,9.4,,1021.8,
2024-04-01,16.5,8.8,22.0,0.0,,,8.9,,1020.2,
2024-04-02,16.6,9.7,22.6,0.0,,,8.3,,1016.4,
2024-04-03,20.2,11.9,24.8,0.0,,,14.4,,1013.0,
2024-04-04,18.2,7.5,25.2,0.0,,,11.7,,1012.9,
2024-04-05,14.3,7.8,18.1,0.0,,,18.3,,1014.7,
2024-04-06,10.4,2.4,15.0,0.0,,,13.7,,1017.4,
2024-04-07,7.7,1.4,14.7,0.0,,,16.1,,1013.4,
2024-04-08,8.0,1.1,13.4,5.6,,,11.8,,1014.3,
2024-04-09,11.5,3.6,15.2,3.0,,,13.6,,1012.9,
2024-04-10,12.1,7.6,16.3,7.9,,,10.2,,1012.5,
2024-04-11,12.9,6.8,16.0,0.3,,,11.3,,1017.4,
2024-04-12,12.6,5.8,14.6,0.0,,,10.5,,1019.2,
2024-04-13,11.3,8.3,14.0,0.3,,,11.2,,1018.7,
2024-04-14,13.1,7.1,16.4,0.0,,,18.3,,1018.1,
2024-04-15,12.4,2.5,17.5,0.3,,,11.4,,1020.9,
2024-04-16,19.6,7.4,25.4,0.0,,,10.1,,1015.9,
2024-04-17,21.4,13.7,26.9,0.0,,,17.5,,1009.4,
2024-04-18,20.6,14.4,27.0,0.0,,,24.2,,1005.0,
2024-04-19,19.7,11.0,24.1,0.0,,,13.5,,1008.3,
2024-04-20,17.8,11.8,20.4,0.0,,,22.9,,1006.2,
2024-04-21,16.1,6.8,20.5,0.0,,,12.5,,1012.3,
2024-04-22,17.9,9.6,21.5,0.0,,,12.8,,1017.0,
2024-04-23,23.1,12.3,27.2,0.0,,,11.6,,1018.5,
2024-04-24,25.3,17.2,30.6,0.0,,,18.0,,1012.8,
2024-04-25,23.8,18.4,27.1,0.0,,,21.5,,1008.6,
2024-04-26,22.1,17.0,27.3,0.5,,,17.2,,1009.5,
2024-04-27,21.3,13.3,28.3,0.5,,,14.0,,1012.5,
2024-04-28,19.5,11.5,26.5,1.8,,,14.7,,1013.7,
2024-04-29,16.3,10.7,20.2,4.6,,,9.1,,1015.3,
2024-04-30,16.6,11.7,22.2,0.5,,,9.8,,1014.1,
2024-05-01,14.4,9.1,19.5,17.9,,,8.2,,1011.6,
2024-05-02,15.4,10.5,19.1,16.0,,,14.1,,1008.2,
2024-05-03,11.6,9.0,14.3,0.3,,,16.7,,1007.2,
2024-05-04,12.0,7.3,16.8,1.0,,,11.1,,1004.7,
2024-05-05,6.9,5.7,9.3,16.5,,,12.5,,1007.7,
2024-05-06,6.1,0.9,9.9,9.9,,,14.3,,1014.4,
2024-05-07,8.7,3.7,14.5,0.0,,,9.9,,1016.1,
2024-05-08,16.8,7.1,20.6,0.0,,,9.4,,1016.4,
2024-05-09,17.3,10.7,21.1,0.0,,,12.6,,1013.7,
2024-05-10,20.7,11.3,25.2,0.0,,,14.7,,1010.1,
2024-05-11,17.5,10.6,22.4,0.0,,,25.3,,1005.9,
2024-05-12,10.6,7.9,12.5,0.5,,,15.6,,1010.2,
2024-05-13,10.3,5.0,14.2,0.3,,,13.3,,1011.4,
2024-05-14,10.2,5.1,14.9,0.5,,,11.2,,1014.2,
2024-05-15,15.1,4.9,20.1,0.0,,,8.5,,1015.1,
2024-05-16,16.6,10.5,20.2,0.0,,,16.1,,1017.7,
2024-05-17,17.8,12.6,21.7,0.0,,,14.0,,1018.3,
2024-05-18,21.3,13.7,25.1,0.0,,,16.1,,1015.6,
2024-05-19,20.3,13.2,25.5,0.0,,,13.0,,1013.8,
2024-05-20,20.9,15.6,25.1,0.0,,,11.6,,1011.3,
2024-05-21,19.6,11.7,24.5,2.0,,,10.2,,1013.0,
2024-05-22,22.4,12.7,27.8,0.0,,,15.2,,1012.7,
2024-05-23,20.7,13.9,25.5,0.5,,,12.8,,1010.0,
2024-05-24,13.0,9.8,15.6,1.0,,,13.3,,1008.1,
2024-05-25,13.3,9.9,16.8,0.0,,,13.1,,1011.0,
2024-05-26,16.7,7.7,21.0,3.8,,,6.9,,1012.4,
2024-05-27,14.8,10.5,20.3,0.5,,,8.6,,1012.0,
2024-05-28,14.9,9.6,22.8,3.8,,,8.8,,1012.0,
2024-05-29,17.6,9.2,22.0,27.7,,,8.1,,1013.0,
2024-05-30,18.8,10.7,23.1,4.8,,,6.9,,1011.8,
2024-05-31,17.1,12.0,22.2,8.6,,,10.6,,1015.2,
2024-06-01,19.3,9.8,23.7,4.6,,,10.0,,1020.2,
2024-06-02,22.6,13.3,26.6,0.0,,,11.4,,1019.0,
2024-06-03,23.2,15.7,29.3,0.0,,,12.3,,1016.6,
2024-06-04,26.5,15.6,31.3,0.0,,,10.6,,1014.4,
2024-06-05,28.2,18.4,32.1,0.0,,,9.6,,1013.4,
2024-06-06,27.8,19.0,31.1,0.0,,,13.1,,1014.0,
2024-06-07,24.0,17.5,29.6,5.1,,,11.1,,1014.7,
2024-06-08,19.7,13.4,25.3,13.0,,,8.5,,1011.4,
2024-06-09,18.4,11.9,22.7,1.0,,,12.7,,1011.3,
2024-06-10,20.8,11.4,25.2,0.0,,,12.0,,1013.7,
2024-06-11,24.9,14.6,29.4,0.0,,,9.3,,1013.2,
2024-06-12,28.7,18.5,33.5,0.0,,,11.7,,1013.6,
2024-06-13,28.7,20.4,33.2,0.0,,,15.3,,1014.7,
2024-06-14,26.3,19.0,33.7,0.5,,,12.4,,1013.2,
2024-06-15,24.5,17.5,28.0,0.5,,,15.1,,1007.8,
2024-06-16,25.1,13.6,28.7,0.0,,,8.6,,1009.9,
2024-06-17,27.9,16.3,31.7,0.0,,,9.7,,1011.5,
2024-06-18,27.4,17.0,31.5,0.0,,,13.7,,1013.6,
2024-06-19,26.3,15.8,30.4,0.0,,,13.8,,1014.2,
2024-06-20,26.9,15.2,31.3,0.0,,,13.2,,1013.0,
2024-06-21,24.9,15.4,30.0,0.0,,,20.9,,1012.2,
2024-06-22,25.6,14.1,31.3,0.0,,,18.2,,1007.9,
2024-06-23,24.6,12.2,31.1,0.0,,,11.8,,1007.2,
2024-06-24,26.8,15.7,33.6,0.0,,,10.0,,1008.1,
2024-06-25,28.9,17.8,34.6,0.0,,,12.6,,1007.6,
2024-06-26,23.4,16.0,27.7,0.0,,,15.6,,1011.1,
2024-06-27,23.0,12.9,28.7,0.0,,,12.4,,1011.6,
2024-06-28,23.3,14.3,30.5,0.0,,,12.8,,1007.6,
2024-06-29,22.3,14.6,26.5,0.0,,,21.2,,1006.8,
2024-06-30,21.1,12.9,24.9,0.0,,,22.3,,1010.0,
2024-07-01,22.2,13.1,26.3,0.0,,,17.3,,1009.9,
2024-07-02,23.4,13.1,27.2,0.0,,,12.7,,1007.5,
2024-07-03,28.2,17.1,33.4,0.8,,,11.6,,1003.3,
2024-07-04,30.2,20.9,34.2,0.0,,,18.7,,1003.0,
2024-07-05,25.8,19.5,31.8,0.0,,,15.4,,1007.1,
2024-07-06,22.1,15.0,25.2,0.0,,,21.6,,1010.8,
2024-07-07,22.9,16.9,27.9,0.0,,,24.0,,1009.8,
2024-07-08,24.8,16.5,29.7,0.0,,,19.2,,1009.5,
2024-07-09,25.2,16.4,29.6,0.0,,,14.2,,1009.3,
2024-07-10,23.1,17.3,30.0,1.0,,,9.4,,1009.7,
2024-07-11,26.3,17.0,32.2,0.0,,,7.8,,1010.0,
2024-07-12,26.6,18.2,32.1,0.0,,,9.4,,1009.5,
2024-07-13,25.8,17.8,30.5,0.0,,,11.8,,1006.9,
2024-07-14,23.4,17.7,29.0,0.0,,,14.2,,1006.5,
2024-07-15,25.3,16.4,29.2,0.0,,,12.4,,1006.9,
2024-07-16,26.9,16.9,31.5,0.0,,,11.1,,1007.8,
2024-07-17,26.7,19.0,31.9,0.0,,,11.2,,1009.4,
2024-07-18,26.7,17.9,30.0,0.0,,,13.1,,1010.4,
2024-07-19,25.8,17.5,29.6,0.0,,,19.0,,1009.4,
2024-07-20,25.6,15.9,29.7,0.0,,,18.7,,1007.9,
2024-07-21,27.8,18.0,31.7,0.0,,,12.1,,1008.6,
2024-07-22,30.7,19.8,33.9,0.0,,,11.2,,1007.3,
2024-07-23,29.8,19.3,34.3,0.0,,,12.5,,1007.3,
2024-07-24,26.7,16.6,30.0,3.8,,,12.2,,1005.6,
2024-07-25,27.1,18.5,31.5,0.0,,,10.3,,1002.6,
2024-07-26,24.1,17.4,27.8,0.0,,,13.2,,1004.3,
2024-07-27,22.3,15.5,27.2,0.0,,,13.4,,1011.5,
2024-07-28,22.5,14.6,27.4,0.0,,,21.3,,1016.2,
2024-07-29,24.0,12.7,29.2,0.0,,,15.8,,1012.1,
2024-07-30,24.4,13.6,28.4,0.0,,,14.9,,1007.4,
2024-07-31,22.9,14.5,27.2,0.0,,,14.8,,1010.8,
2024-08-01,23.1,13.5,27.6,0.0,,,13.7,,1011.3,
2024-08-02,24.9,13.5,29.7,0.0,,,10.9,,1008.8,
2024-08-03,27.7,16.3,32.5,0.0,,,10.8,,1005.6,
2024-08-04,28.9,19.0,34.1,0.0,,,12.5,,1005.2,
2024-08-05,27.4,17.8,32.9,0.0,,,11.0,,1006.8,
2024-08-06,26.9,17.1,32.7,0.0,,,9.3,,1007.2,
2024-08-07,26.9,19.7,31.9,0.0,,,10.6,,1007.7,
2024-08-08,26.1,17.2,31.6,0.0,,,10.5,,1009.8,
2024-08-09,28.0,17.8,33.7,0.0,,,11.0,,1009.2,
2024-08-10,27.9,19.0,33.3,0.0,,,11.1,,1009.6,
2024-08-11,23.3,16.0,27.9,0.5,,,18.6,,1012.6,
2024-08-12,21.0,13.5,27.7,0.0,,,21.0,,1012.8,
2024-08-13,24.2,13.8,30.6,0.0,,,14.4,,1012.5,
2024-08-14,26.2,15.8,32.0,0.0,,,15.8,,1011.9,
2024-08-15,24.6,14.2,30.8,0.0,,,15.8,,1012.2,
2024-08-16,19.9,13.1,27.1,0.0,,,18.8,,1012.4,
2024-08-17,21.9,9.9,27.0,0.0,,,14.7,,1011.0,
2024-08-18,25.2,13.7,30.5,0.0,,,9.7,,1009.2,
2024-08-19,29.7,17.8,34.2,0.0,,,8.9,,1008.7,
2024-08-20,30.2,19.4,34.8,0.0,,,9.5,,1009.2,
2024-08-21,32.3,20.8,37.0,0.0,,,10.1,,1005.3,
2024-08-22,29.8,22.3,34.1,0.0,,,13.6,,1004.1,
2024-08-23,27.7,18.4,31.8,0.0,,,12.0,,1009.1,
2024-08-24,20.4,16.4,26.5,14.0,,,12.3,,1012.8,
2024-08-25,19.8,15.8,22.9,4.1,,,11.0,,1011.0,
2024-08-26,23.9,13.6,28.0,0.0,,,6.8,,1009.8,
2024-08-27,25.7,16.0,29.5,0.0,,,6.4,,1009.7,
2024-08-28,,,,,,,,,,
2024-08-29,23.6,16.3,29.7,6.1,,,,,,
2024-08-30,23.3,15.2,27.8,0.0,,,,,,
2024-08-31,25.2,17.3,29.3,0.0,,,,,,
2024-09-01,22.5,16.2,28.5,4.1,,,,,,
2024-09-02,23.6,14.7,27.5,0.3,,,,,,
2024-09-03,23.5,16.9,27.1,0.0,,,,,,
2024-09-04,23.1,15.8,27.7,0.0,,,9.8,,1012.5,
2024-09-05,21.9,15.6,27.9,0.0,,,10.3,,1011.5,
2024-09-06,23.1,14.4,27.8,0.0,,,9.9,,1012.5,
2024-09-07,24.2,14.3,27.9,0.0,,,8.4,,1012.5,
2024-09-08,23.2,13.9,27.3,0.0,,,8.4,,1011.3,
2024-09-09,24.3,15.2,29.1,0.0,,,8.0,,1011.5,
2024-09-10,27.2,17.1,31.5,0.0,,,10.4,,1008.8,
2024-09-11,24.7,16.3,29.9,0.0,,,11.2,,1009.1,
2024-09-12,24.5,18.3,28.9,0.0,,,13.3,,1012.3,
2024-09-13,22.5,16.8,27.9,0.0,,,8.1,,1011.0,
2024-09-14,25.4,17.2,30.2,0.0,,,8.5,,1008.6,
2024-09-15,26.3,17.7,31.6,0.0,,,10.2,,1004.9,
2024-09-16,21.6,15.9,25.9,0.0,,,10.6,,1006.6,
2024-09-17,20.6,13.9,25.7,0.0,,,7.8,,1011.8,
2024-09-18,22.3,13.1,26.7,0.0,,,8.1,,1014.1,
2024-09-19,17.8,12.5,22.7,3.3,,,9.8,,1012.8,
2024-09-20,18.4,10.2,22.6,0.3,,,8.5,,1013.4,
2024-09-21,18.8,10.3,22.5,0.0,,,9.1,,1012.5,
2024-09-22,11.6,10.8,13.3,14.0,,,9.7,,1013.3,
2024-09-23,15.4,9.7,19.0,7.1,,,10.8,,1015.0,
2024-09-24,17.0,9.6,20.1,0.0,,,8.0,,1017.9,
2024-09-25,16.3,10.1,22.3,0.0,,,8.0,,1018.4,
2024-09-26,20.1,9.7,23.6,0.0,,,10.5,,1017.4,
2024-09-27,20.7,9.9,24.7,0.0,,,10.9,,1016.5,
2024-09-28,21.7,10.7,27.1,0.0,,,8.5,,1014.4,
2024-09-29,23.5,13.0,28.2,0.0,,,10.2,,1009.8,
2024-09-30,20.8,12.5,29.1,1.0,,,17.6,,1006.3,
2024-10-01,11.9,8.9,14.5,3.8,,,13.7,,1009.7,
2024-10-02,12.8,8.4,17.1,0.0,,,12.5,,1014.4,
2024-10-03,16.2,8.1,21.1,0.0,,,6.9,,1017.6,
2024-10-04,18.4,10.6,23.3,0.0,,,7.2,,1017.9,
2024-10-05,19.7,11.1,24.9,0.0,,,9.4,,1016.2,
2024-10-06,21.4,12.8,27.0,0.0,,,10.2,,1013.3,
2024-10-07,21.6,16.0,26.8,0.0,,,10.9,,1014.4,
2024-10-08,20.0,13.1,25.2,0.0,,,8.2,,1018.3,
2024-10-09,22.1,13.1,27.6,0.0,,,10.2,,1016.0,
2024-10-10,21.2,15.0,25.7,0.0,,,11.9,,1012.2,
2024-10-11,21.2,14.6,25.3,0.0,,,11.0,,1011.5,
2024-10-12,21.6,15.0,26.5,0.0,,,8.4,,1013.3,
2024-10-13,19.9,13.3,24.1,0.0,,,10.7,,1013.3,
2024-10-14,17.9,11.5,22.0,0.0,,,7.5,,1014.3,
2024-10-15,16.3,9.5,21.0,0.0,,,8.2,,1016.5,
2024-10-16,16.6,8.3,22.1,0.0,,,7.6,,1017.0,
2024-10-17,10.8,5.4,14.6,0.0,,,14.6,,1018.4,
2024-10-18,6.9,2.7,11.0,0.3,,,12.9,,1021.5,
2024-10-19,6.6,1.1,10.1,0.0,,,9.4,,1022.7,
2024-10-20,7.9,1.2,11.9,0.0,,,10.2,,1025.9,
2024-10-21,7.0,-0.1,10.0,0.0,,,12.7,,1028.6,
2024-10-22,6.4,3.6,9.2,0.5,,,16.9,,1028.5,
2024-10-23,7.2,1.0,11.5,0.0,,,12.2,,1029.7,
2024-10-24,8.1,0.3,13.0,0.0,,,9.3,,1027.8,
2024-10-25,8.1,0.4,13.0,0.0,,,10.8,,1026.0,
2024-10-26,7.4,0.8,14.0,0.0,,,10.5,,1025.8,
2024-10-27,9.3,1.1,14.3,0.0,,,10.2,,1026.8,
2024-10-28,11.1,3.2,15.4,0.0,,,7.4,,1023.2,
2024-10-29,10.6,1.4,15.2,0.0,,,9.6,,1020.5,
2024-10-30,8.8,0.8,13.6,0.0,,,10.4,,1019.6,
2024-10-31,8.6,1.5,13.0,0.0,,,8.2,,1020.5,
2024-11-01,9.6,1.2,14.4,0.0,,,8.1,,1022.3,
2024-11-02,12.5,3.8,17.7,0.0,,,8.4,,1019.7,
2024-11-03,10.7,5.6,14.7,0.0,,,10.3,,1018.9,
2024-11-04,4.7,0.6,9.8,0.0,,,8.1,,1021.8,
2024-11-05,5.8,0.1,9.6,0.0,,,10.0,,1024.6,
2024-11-06,4.9,-2.9,9.5,0.0,,,10.0,,1029.1,
2024-11-07,4.4,-3.3,10.0,0.0,,,10.2,,1031.5,
2024-11-08,3.7,-2.3,10.9,0.0,,,8.6,,1028.5,
2024-11-09,3.8,-2.2,10.3,0.0,,,7.5,,1024.7,
2024-11-10,6.9,0.1,12.8,0.0,,,15.4,,1019.2,
2024-11-11,8.5,3.3,13.9,0.0,,,9.6,,1019.6,
2024-11-12,8.1,3.1,14.5,0.0,,,6.0,,1022.7,
2024-11-13,8.0,2.7,14.8,0.0,,,4.0,,1023.4,
2024-11-14,9.4,4.2,14.5,0.0,,,5.2,,1020.5,
2024-11-15,11.1,7.1,15.5,0.0,,,11.1,,1015.5,
2024-11-16,9.3,4.2,13.6,0.0,,,6.7,,1016.7,
2024-11-17,7.5,3.5,11.2,1.0,,,12.8,,1013.6,
2024-11-18,6.2,3.2,11.8,8.3,,,8.7,,1011.7,
2024-11-19,5.4,1.9,10.7,0.0,,,6.2,,1016.6,
2024-11-20,6.5,1.3,14.1,0.0,,,12.7,,1015.9,
2024-11-21,8.9,4.5,15.7,0.0,,,19.4,,1014.1,
2024-11-22,11.1,9.3,15.4,0.0,,,17.0,,1017.7,
2024-11-23,12.1,7.3,17.6,0.0,,,20.9,,1015.6,
2024-11-24,-1.9,-7.0,10.0,22.6,,,25.9,,1022.7,
2024-11-25,-5.1,-6.4,-3.9,4.3,15.0,,12.2,,1026.8,
2024-11-26,-3.4,-5.2,-2.1,6.6,19.0,,11.5,,1024.4,
2024-11-27,-4.3,-7.4,1.1,2.3,18.0,,6.3,,1028.2,
2024-11-28,-2.2,-7.2,1.5,0.0,13.0,,5.9,,1031.3,
2024-11-29,-1.2,-10.5,2.8,0.0,10.0,,5.1,,1030.5,
2024-11-30,-3.6,-7.8,0.6,0.0,8.0,,6.5,,1030.4,
2024-12-01,-4.6,-7.4,-0.1,0.0,,,5.3,,1028.3,
2024-12-02,-2.7,-7.3,2.7,0.0,3.0,,5.3,,1022.7,
2024-12-03,-1.1,-5.8,4.7,0.0,,,9.5,,1018.0,
2024-12-04,4.4,1.7,7.4,2.0,1.0,,11.1,,1019.1,
2024-12-05,5.1,2.4,8.8,0.0,1.0,,7.2,,1023.5,
2024-12-06,4.1,0.8,8.7,0.0,1.0,,6.9,,1025.1,
2024-12-07,6.3,0.2,10.9,0.0,,,16.5,,1020.9,
2024-12-08,7.4,5.4,10.4,0.0,,,19.1,,1018.0,
2024-12-09,9.0,5.9,13.9,0.0,,,9.5,,1022.5,
2024-12-10,9.1,5.3,13.7,0.0,,,,,,
2024-12-11,8.1,,12.4,1.0,,,,,,
2024-12-12,3.7,,6.1,3.6,,,,,,
2024-12-13,0.2,-2.2,2.1,0.3,,,,,,
2024-12-14,-1.9,-4.3,0.7,0.0,,,9.2,,1033.0,
2024-12-15,3.7,-2.8,8.3,0.0,,,13.1,,1024.6,
2024-12-16,2.3,1.1,3.6,12.9,,,11.8,,1024.6,
2024-12-17,1.5,-0.7,5.1,6.1,,,7.9,,1029.7,
2024-12-18,1.8,-0.6,7.2,0.0,,,8.1,,1027.1,
2024-12-19,2.3,-0.6,7.3,0.0,,,5.5,,1022.3,
2024-12-20,2.7,-1.3,6.0,0.0,,,5.7,,1016.7,
2024-12-21,6.2,0.9,10.7,4.1,,,15.1,,1015.8,
2024-12-22,4.9,2.1,8.3,10.7,,,14.4,,1014.9,
2024-12-23,5.4,-0.4,9.7,0.0,,,13.4,,1013.0,
2024-12-24,6.3,1.4,11.7,1.5,,,21.7,,1012.7,
2024-12-25,7.3,5.3,10.3,0.0,,,30.9,,1015.0,
2024-12-26,5.7,0.2,9.6,0.0,,,24.0,,1016.6,
2024-12-27,3.1,-0.4,6.1,0.0,,,8.2,,1015.5,
2024-12-28,2.5,-0.8,5.1,0.0,,,7.5,,1018.4,
2024-12-29,2.6,-0.6,5.7,0.0,,,11.6,,1020.1,
2024-12-30,1.8,0.6,3.1,2.3,,,7.5,,1021.4,
2024-12-31,0.7,-1.3,1.6,0.5,,,9.0,,1029.1,
2025-01-01,-0.2,-2.3,3.4,0.3,,,6.0,,1034.9,
2025-01-02,1.4,-3.0,6.7,0.0,,,5.4,,1031.3,
2025-01-03,3.6,0.7,7.2,0.0,,,8.8,,1025.1,
2025-01-04,4.8,1.6,9.3,0.8,,,12.1,,1020.8,
2025-01-05,4.4,0.2,6.2,0.3,,,6.5,,1019.4,
2025-01-06,2.3,-1.6,5.7,0.8,,,5.0,,1024.5,
2025-01-07,4.3,-0.5,9.9,0.0,,,5.6,,1026.3,
2025-01-08,4.9,1.3,9.9,0.0,,,6.3,,1024.7,
2025-01-09,3.7,-0.3,9.5,0.0,,,5.1,,1023.8,
2025-01-10,3.7,-0.2,10.4,0.0,,,7.2,,1018.3,
2025-01-11,5.4,1.0,10.5,0.0,,,9.1,,1017.6,
2025-01-12,7.7,4.1,12.4,0.0,,,12.4,,1018.9,
2025-01-13,8.9,5.5,13.8,0.0,,,13.1,,1021.8,
2025-01-14,7.7,2.3,11.4,0.0,,,8.7,,1022.5,
2025-01-15,6.8,4.1,11.5,0.5,,,7.7,,1019.8,
2025-01-16,4.7,2.1,7.4,2.8,,,8.2,,1026.3,
2025-01-17,1.8,-1.6,4.5,0.5,,,9.6,,1032.6,
2025-01-18,1.6,-1.4,5.8,0.0,,,10.5,,1028.1,
2025-01-19,2.3,-1.1,7.1,0.0,,,16.3,,1023.9,
2025-01-20,1.7,-2.7,4.6,0.0,,,8.6,,1025.2,
2025-01-21,2.5,-2.9,7.7,0.0,,,5.6,,1025.3,
2025-01-22,1.1,-2.3,5.9,0.9,,,9.0,,1021.6,
2025-01-23,2.7,-0.7,5.6,0.8,,,8.7,,1021.9,
2025-01-24,2.8,0.4,7.2,3.0,,,8.2,,1023.2,
2025-01-25,5.4,1.1,10.6,0.0,,,10.6,,1021.2,
2025-01-26,4.1,0.1,9.1,0.0,,,8.5,,1024.2,
2025-01-27,2.8,-1.2,8.0,0.0,,,5.7,,1025.6,
2025-01-28,4.3,-1.4,10.6,0.0,,,5.6,,1024.6,
2025-01-29,4.9,0.1,10.2,0.0,,,6.1,,1025.5,
2025-01-30,5.6,0.7,12.0,0.0,,,5.5,,1025.7,
2025-01-31,4.9,0.9,10.1,0.0,,,8.0,,1022.7,
2025-02-01,3.2,-0.9,9.8,0.0,,,5.1,,1025.8,
2025-02-02,3.7,-0.6,9.8,0.0,,,4.3,,1025.1,
2025-02-03,5.3,-0.2,10.7,0.0,,,8.6,,1019.4,
2025-02-04,1.8,-0.6,7.0,3.0,,,7.4,,1018.9,
2025-02-05,-3.5,-5.1,-1.1,18.6,,,16.7,,1018.7,
2025-02-06,-5.1,-9.8,-3.2,10.4,16.0,,21.6,,1021.9,
2025-02-07,-6.5,-10.6,-3.6,8.6,,,16.8,,1027.6,
2025-02-08,-3.1,-4.1,-0.8,17.0,40.0,,14.5,,1028.9,
2025-02-09,-2.7,-3.9,-0.2,0.5,36.0,,7.5,,1026.1,
2025-02-10,-3.1,-4.1,-1.0,1.0,34.0,,5.2,,1024.9,
2025-02-11,-4.0,-6.9,-2.1,0.0,,,4.8,,1025.4,
2025-02-12,-2.2,-3.7,0.6,0.5,27.0,,7.1,,1025.4,
2025-02-13,-2.3,-3.4,-1.2,13.2,39.0,,17.0,,1022.2,
2025-02-14,-2.2,-5.2,2.0,14.7,50.0,,7.8,,1026.3,
2025-02-15,2.2,-3.8,8.7,0.0,38.0,,11.2,,1021.1,
2025-02-16,3.2,-2.3,8.2,0.0,26.0,,9.8,,1017.1,
2025-02-17,4.5,1.5,8.3,0.0,20.0,,14.2,,1016.1,
2025-02-18,4.1,1.9,7.8,0.5,16.0,,16.7,,1017.0,
2025-02-19,0.3,-3.2,1.6,9.4,,,12.5,,1018.1,
2025-02-20,-5.5,-9.9,-3.2,7.1,17.0,,17.0,,1024.9,
2025-02-21,-8.1,-9.8,-5.0,0.8,20.0,,11.2,,1028.4,
2025-02-22,-9.3,-12.6,-6.5,1.5,24.0,,12.8,,1029.0,
2025-02-23,-10.4,-14.6,-5.7,0.8,20.0,,8.0,,1032.4,
2025-02-24,-8.8,-12.8,-4.6,0.0,17.0,,7.7,,1034.4,
2025-02-25,-4.9,-10.9,0.0,0.0,13.0,,12.6,,1028.6,
2025-02-26,-0.7,-6.1,3.9,0.0,11.0,,12.1,,1025.2,
2025-02-27,1.8,-3.5,6.1,0.0,9.0,,11.1,,1025.1,
2025-02-28,-0.9,-5.3,3.3,0.0,,,8.7,,1020.7,
2025-03-01,2.4,-0.6,7.4,1.3,4.0,,4.4,,1023.4,
2025-03-02,5.4,1.1,9.9,0.0,2.0,,10.9,,1022.4,
2025-03-03,1.7,0.3,2.5,7.8,,,10.8,,1019.0,
2025-03-04,1.4,-2.1,5.8,13.0,1.0,,12.2,,1021.4,
2025-03-05,3.9,-2.2,11.2,0.0,,,7.8,,1024.2,
2025-03-06,5.9,-0.6,13.3,0.0,,,9.0,,1026.6,
2025-03-07,5.9,-1.1,13.3,0.0,,,8.8,,1022.6,
2025-03-08,7.9,1.2,14.6,0.0,,,5.2,,1015.1,
2025-03-09,11.1,5.8,17.2,0.0,,,8.5,,1012.2,
2025-03-10,11.6,5.3,17.9,0.0,,,8.4,,1015.9,
2025-03-11,13.4,8.0,19.3,0.0,,,8.1,,1019.3,
2025-03-12,13.6,6.9,20.2,0.0,,,10.7,,1019.5,
2025-03-13,14.6,8.0,21.5,0.0,,,12.3,,1017.6,
2025-03-14,14.7,9.1,21.3,0.0,,,8.0,,1019.8,
2025-03-15,16.3,10.4,23.2,0.0,,,,,,
2025-03-16,18.9,11.5,25.0,0.0,,,,,,
2025-03-17,18.5,,22.8,0.0,,,,,,
2025-03-18,10.4,,14.3,0.0,,,,,,
